업종,시설명(업소),주소,흡연실 개소수,위도,경도
체육시설업,오메가 쓰리 스포츠,서울특별시 중랑구 봉화산로 117,1,37.6031651842705,127.087233649249
체육시설업,바디캠프,서울특별시 중랑구 동일로 851,1,37.6064251434477,127.078240495159
체육시설업,굿모닝 휘트니스,서울특별시 중랑구 망우로 186,1,37.5929757068906,127.073455686987
체육시설업,운동사람들,서울특별시 중랑구 용마산로115길 108,1,37.5980674793635,127.094140301694
체육시설업,뉴온리짐,서울특별시 중랑구 동일로129길 35,1,37.5992225724592,127.077505274598
체육시설업,주식회사 고릴라멀티짐,서울특별시 중랑구 망우로30길 3,1,37.5930806702101,127.0747508051
체육시설업,투바디짐,서울특별시 중랑구 봉우재로 73,1,37.5917927498379,127.081355371875
체육시설업,신내헬스,서울특별시 중랑구 신내로 127,1,37.6108674372868,127.095651882252
체육시설업,비타민 스포츠센터,서울특별시 중랑구 면목로44길 28,1,37.5808876739048,127.089807673098
체육시설업,우림헬스크럽,서울특별시 중랑구 봉우재로71길 18,1,37.596385964949,127.098764864011
체육시설업,올리브짐,서울특별시 중랑구 겸재로49길 18,1,37.5898628407742,127.090492713582
체육시설업,우디안 휘트니스,서울특별시 중랑구 신내역로 165,1,37.6165826807685,127.109631685269
체육시설업,팀키스짐(TEAM KIS GYM),서울특별시 중랑구 동일로 937,1,37.6140034339301,127.076482000011
체육시설업,카인드짐,서울특별시 중랑구 면목로 487,1,37.5953846255401,127.085459817226
체육시설업,고구마 휘트니스,서울특별시 중랑구 상봉로 39,1,37.5894355494869,127.093436153362
체육시설업,팀키스 짐,서울특별시 중랑구 망우로60길 37,1,37.5971024399369,127.094238280931
체육시설업,시너지 짐,서울특별시 중랑구 면목로39길 8,1,37.5797629566103,127.087172828376
체육시설업,바디톡,서울특별시 중랑구 망우로 328,1,37.5967896562752,127.088961999058
체육시설업,피트니스 아레나,서울특별시 중랑구 동일로 802,1,37.6020848093367,127.079714349109
체육시설업,애스톤 네이처 24 hour 휘트니스,서울특별시 중랑구 동일로 887,1,37.6095063836351,127.077639279822
체육시설업,미라클 헬스,서울특별시 중랑구 상봉중앙로 41,1,37.6008163273836,127.087200218088
체육시설업,H·O·C GYM,서울특별시 중랑구 용마산로 458,1,37.5919203036137,127.09842652337
체육시설업,코오스트롱 휘트니스,서울특별시 중랑구 신내로 193,1,37.6154746292954,127.094437021597
체육시설업,바디플레이스,서울특별시 중랑구 용마산로 384,1,37.5858710589445,127.095220563756
체육시설업,코어스트롱 중랑구청점,서울특별시 중랑구 봉화산로 218,1,37.6073860355769,127.097061714442
체육시설업,월드컵 당구장,서울특별시 중랑구 면목로33길 33,1,37.5764891385977,127.084020210143
체육시설업,만점 당구장,서울특별시 중랑구 면목로 368,1,37.5848245219132,127.088550929868
체육시설업,삼성당구장,서울특별시 중랑구 망우로32길 37,1,37.5921917510727,127.077132479608
체육시설업,볼모아 당구장,서울특별시 중랑구 중랑역로 51,1,37.5983780061165,127.076920088772
체육시설업,킹당구장,서울특별시 중랑구 용마산로 418,1,37.5887942143013,127.096691554642
체육시설업,우리 당구장,서울특별시 중랑구 동일로129길 54,1,37.5999854804166,127.077032606368
체육시설업,헐리우드 당구장,서울특별시 중랑구 송림길 7,1,37.5996056210442,127.095188239158
체육시설업,우리들당구장,서울특별시 중랑구 면목로 342,1,37.5823883266456,127.088791001729
